
Time,PID,Tickets,Pass,Stride,Runtime
100720,10,32,440093,32,13541
100720,11,32,440070,32,13540
100720,12,32,440078,32,13540
100720,13,32,440084,32,13540
100720,14,32,440089,32,13540
100720,15,32,440077,32,7072
100720,16,32,440080,32,7072
100720,17,8,440115,128,1769
100720,18,2,440118,512,443
100720,19,8,440121,128,1769
100720,20,8,440124,128,1769
105041,1,8,1792,128,14
105041,2,8,4224,128,19
105041,5,1,456284,1024,440
105041,4,8,455936,128,3529
105041,6,2,456296,512,879
105041,7,4,456053,256,1756
105041,8,8,455811,128,3509
105041,9,16,455825,64,7017
105041,10,32,455837,32,14033
105041,11,32,455814,32,14032
105041,12,32,455822,32,14032
105041,13,32,455828,32,14032
105041,14,32,455833,32,14032
105041,15,32,455821,32,7564
105041,16,32,455824,32,7564
105041,17,8,455859,128,1892
105041,18,2,455990,512,474
105041,19,8,455865,128,1892
105041,20,8,455868,128,1892
109360,1,8,1792,128,14
109360,2,8,4224,128,19
109360,5,1,471644,1024,455
109360,4,8,471680,128,3652
109360,6,2,471656,512,909
109360,7,4,471669,256,1817
109360,8,8,471555,128,3632
109360,9,16,471569,64,7263
109360,10,32,471581,32,14525
109360,11,32,471558,32,14524
109360,12,32,471566,32,14524
109360,13,32,471572,32,14524
109360,14,32,471577,32,14524
109360,15,32,471565,32,8056
109360,16,32,471568,32,8056
109360,17,8,471603,128,2015
109360,18,2,471862,512,505
109360,19,8,471609,128,2015
109360,20,8,471612,128,2015
113682,1,8,1792,128,14
113682,2,8,4224,128,19
113682,5,1,488028,1024,471
113682,4,8,487424,128,3775
113682,6,2,487528,512,940
113682,7,4,487541,256,1879
113682,8,8,487299,128,3755
113682,9,16,487313,64,7509
113682,10,32,487325,32,15017
113682,11,32,487302,32,15016
113682,12,32,487310,32,15016
113682,13,32,487316,32,15016
113682,14,32,487321,32,15016
113682,15,32,487309,32,8548
113682,16,32,487312,32,8548
113682,17,8,487347,128,2138
113682,18,2,487734,512,536
113682,19,8,487353,128,2138
113682,20,8,487356,128,2138
118001,1,8,1792,128,14
118001,2,8,4224,128,19
118001,5,1,503388,1024,486
118001,4,8,503168,128,3898
118001,6,2,503400,512,971
118001,7,4,503157,256,1940
118001,8,8,503043,128,3878
118001,9,16,503057,64,7755
118001,10,32,503069,32,15509
118001,11,32,503046,32,15508
118001,12,32,503054,32,15508
118001,13,32,503060,32,15508
118001,14,32,503065,32,15508
118001,15,32,503053,32,9040
118001,16,32,503056,32,9040
118001,17,8,503091,128,2261
118001,18,2,503094,512,566
118001,19,8,503097,128,2261
118001,20,8,503100,128,2261
122323,1,8,1792,128,14
122323,2,8,4224,128,19
122323,5,1,519772,1024,502
122323,4,8,518912,128,4021
122323,6,2,519272,512,1002
122323,7,4,519029,256,2002
122323,8,8,518787,128,4001
122323,9,16,518801,64,8001
122323,10,32,518813,32,16001
122323,11,32,518790,32,16000
122323,12,32,518798,32,16000
122323,13,32,518804,32,16000
122323,14,32,518809,32,16000
122323,15,32,518797,32,9532
122323,16,32,518800,32,9532
122323,17,8,518835,128,2384
122323,18,2,518966,512,597
122323,19,8,518841,128,2384
122323,20,8,518844,128,2384
